OBJECTID,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Style,Vehicle Colour,Vehicle Value,Weekday,Recovered,Neighbourhood,Ward,Sector,Reported Date,Occurred Date,Year,Intersection,Division,Census Tract,Time of Day,Councillor,Reported Hour,Occurred Hour,x,y
69,2012,FORD,FOCUS,Automobile,BLK,,Tuesday,Y,Carlington,Ward 16 - River,Sector 21,2/6/2018 5:00:00 AM,2/6/2018 5:00:00 AM,2018,"CALDWELL AVE, MERIVALE RD",Central,5050022.00,Afternoon,Riley Brockington,1200,1200,364906.8155,5026227.1004
70,2015,JOHN DEERE/ DEERE AND COMPANY,,Other,DGRYEL,,Monday,N,Orléans Chapel Hill South,Ward 19 - Orléans South-Navan,Sector 31,2/6/2018 5:00:00 AM,2/5/2018 5:00:00 AM,2018,"INNES RD, 260m E OF FRANK BENDER ST",East,5050125.10,Afternoon,Catherine Kitts,1200,1600,382348.8863,5035394.8228
71,2006,CHRYSLER/ CHRYSLER OUTBOARD CORPORATION,300,Automobile,GLD,,Wednesday,Y,Lowertown,Ward 12 - Rideau-Vanier,Sector 24,2/7/2018 5:00:00 AM,2/7/2018 5:00:00 AM,2018,"BESSERER ST, KING EDWARD AVE",Central,5050053.00,Afternoon,Stéphanie Plante,1600,1400,368552.594,5032339.2973
72,2016,BMW,,Automobile,RED,,Wednesday,Y,Borden Farm - Stewart Farm - Parkwood Hills - Fisher Glen,Ward 9 - Knoxdale-Merivale,Sector 17,2/8/2018 5:00:00 AM,2/7/2018 5:00:00 AM,2018,"INVERNESS AVE, MEADOWLANDS DR",West,5050131.02,Afternoon,Sean Devine,800,1700,365758.0164,5024717.8368
73,2015,HYUNDAI,SONATA,Automobile,WHI,,Friday,Y,Katimavik - Hazeldean,Ward 23 - Kanata South,Sector 13,2/9/2018 5:00:00 AM,2/9/2018 5:00:00 AM,2018,"PICKFORD DR, TANGUAY CRT",West,5050160.04,Morning,Allan Hubley,900,900,353218.2124,5018336.9643
74,2008,"HONDA/AMERICAN HONDA MOTOR CO.,",CRV,Suv,BGE,,Thursday,Y,Carlington,Ward 16 - River,Sector 21,2/9/2018 5:00:00 AM,2/8/2018 5:00:00 AM,2018,"CARLING AVE, MERIVALE RD EXTENSION",Central,5050021.00,Evening,Riley Brockington,700,2000,364950.8915,5027733.5412
75,2010,FORD,F150,Truck,WHI,,Sunday,N,Hawthorne Meadows - Sheffield Glen,Ward 18 - Alta Vista,Sector 33,2/9/2018 5:00:00 AM,12/17/2017 5:00:00 AM,2018,"PLEASANT PARK RD, ST. LAURENT BLVD",East,5050010.00,Evening,Marty Carr,800,2300,373599.6504,5028795.6337
76,2015,MITSUBISHI,RVR,Automobile,GRY,25000,Saturday,Y,South Keys - Heron Gate - Greenboro West,Ward 10 - Gloucester-Southgate,Sector 35,2/10/2018 5:00:00 AM,2/10/2018 5:00:00 AM,2018,"JOHNSTON RD, TAPIOLA CRES W",East,5050001.04,Afternoon,Jessica Bradley,1400,1400,371572.0413,5025263.5992
77,,KUBOTA TRACTOR CORP.,,Other,ONG,,Saturday,Y,West Centertown,Ward 17 - Capital,Sector 22,2/10/2018 5:00:00 AM,2/10/2018 5:00:00 AM,2018,"BELL ST S, POWELL AVE",Central,5050035.00,Morning,Shawn Menard,600,600,367200.899,5029384.5548
78,2015,DODGE,RAM 1500 PU,Truck,WHI,,Friday,N,Stittsville,Ward 6 - Stittsville,Sector 13,2/11/2018 5:00:00 AM,2/9/2018 5:00:00 AM,2018,"ANGEL HTS, BOBOLINK RIDGE",West,5050151.08,Evening,Glen Gower,1400,1800,351972.0265,5014403.4864
