OBJECTID,ID,Year,Reported Date,Occurred Date,Weekday,Hate Crime Type,Hate Crime Motivation,Offence Category,Neighbourhood,Sector,Division,Census Tract,Ward,Councillor,Offence Type
587,587,2023,2/23/2023 5:00:00 AM,2/19/2023 5:00:00 AM,Sunday,Religion,Muslim (Islam),Assault Level 1,Carlington,Sector 21,Central,5050022.00,Ward 16 - River,Riley Brockington,Criminal
588,588,2023,2/27/2023 5:00:00 AM,2/25/2023 5:00:00 AM,Saturday,Race/Ethnicity,Black,Mischief To Property,Bridlewood - Emerald Meadows,Sector 13,West,5050161.04,Ward 23 - Kanata South,Allan Hubley,Criminal
589,589,2023,2/27/2023 5:00:00 AM,2/27/2023 5:00:00 AM,Monday,Race/Ethnicity,Black,Assault Level 1,CFB Rockcliffe-NRC,Sector 32,East,5050060.00,Ward 13 - Rideau-Rockcliffe,Rawlson King,Criminal
590,590,2023,2/27/2023 5:00:00 AM,2/27/2023 5:00:00 AM,Monday,Religion,Muslim (Islam),Assault With Weapon Or Cbh Lv2,Ledbury - Heron Gate - Ridgemont - Elmwood,Sector 34,East,5050005.00,Ward 17 - Capital,Shawn Menard,Criminal
591,591,2023,2/27/2023 5:00:00 AM,2/26/2023 5:00:00 AM,Sunday,Religion,Catholic,B&E Non-Res.Prop/Commercial,Byward Market,Sector 24,Central,5050055.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
592,592,2023,3/1/2023 5:00:00 AM,2/28/2023 5:00:00 AM,Tuesday,Religion,Jewish,Mischief To Property,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
593,593,2023,3/2/2023 5:00:00 AM,3/2/2023 5:00:00 AM,Thursday,Gender,Woman,Harass Communications,Glebe - Dows Lake,Sector 22,Central,5050018.00,Ward 17 - Capital,Shawn Menard,Criminal
594,594,2023,3/8/2023 5:00:00 AM,3/8/2023 5:00:00 AM,Wednesday,Race/Ethnicity,White,Threats Utter To Person,Beacon Hill South - Cardinal Heights,Sector 32,East,5050121.02,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,Criminal
595,595,2023,3/8/2023 5:00:00 AM,3/8/2023 5:00:00 AM,Wednesday,Sexual Orientation,LGBTQ2+,Mischief To Property,Beacon Hill South - Cardinal Heights,Sector 32,East,5050121.02,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,Criminal
596,596,2023,3/9/2023 5:00:00 AM,3/8/2023 5:00:00 AM,Wednesday,Combination (More than 2 Motivations),Combination (More than 2 Motivations),Threatening Communications,Glebe - Dows Lake,Sector 22,Central,5050018.00,Ward 17 - Capital,Shawn Menard,Criminal
597,597,2023,3/9/2023 5:00:00 AM,3/9/2023 5:00:00 AM,Thursday,Religion,Jewish,Wilful Promotion Of Hatred,West Centertown,Sector 22,Central,5050042.00,Ward 14 - Somerset,Ariel Troster,Criminal
598,598,2023,3/9/2023 5:00:00 AM,3/7/2023 5:00:00 AM,Tuesday,Race/Ethnicity,Black,Mischief To Property,Katimavik - Hazeldean,Sector 13,West,5050160.06,Ward 4 - Kanata North,Cathy Curry,Criminal
599,599,2023,3/9/2023 5:00:00 AM,3/9/2023 5:00:00 AM,Thursday,Race/Ethnicity,White,Threats Utter To Person,Hunt Club Park,Sector 33,East,5050001.07,Ward 10 - Gloucester-Southgate,Jessica Bradley,Criminal
600,600,2023,3/10/2023 5:00:00 AM,3/10/2023 5:00:00 AM,Friday,Race/Ethnicity,"India,Pakistan/South Asian",Assault Level 1,Lowertown,Sector 24,Central,5050053.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
601,601,2023,3/11/2023 5:00:00 AM,3/1/2023 5:00:00 AM,Wednesday,Race/Ethnicity,Black,Mischief To Property,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
602,602,2023,3/11/2023 5:00:00 AM,3/11/2023 5:00:00 AM,Saturday,Race/Ethnicity,Chinese,Assault Level 1,Hintonburg - Mechanicsville,Sector 21,Central,5050043.00,Ward 15 - Kitchissippi,Jeff Leiper,Criminal
603,603,2023,3/13/2023 5:00:00 AM,3/13/2023 5:00:00 AM,Monday,Religion,Jewish,Wilful Promotion Of Hatred,Glen Cairn - Kanata South Business Park,Sector 13,West,5050162.04,Ward 23 - Kanata South,Allan Hubley,Criminal
604,604,2023,3/14/2023 5:00:00 AM,3/13/2023 5:00:00 AM,Monday,Race/Ethnicity,Black,Mischief To Property,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
605,605,2023,3/15/2023 5:00:00 AM,3/14/2023 5:00:00 AM,Tuesday,Race/Ethnicity,Black,Mischief To Property,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Sector 31,East,5050170.08,Ward 1 - Orléans East-Cumberland,Matthew Luloff,Criminal
606,606,2023,3/16/2023 5:00:00 AM,3/1/2023 5:00:00 AM,Wednesday,Religion,Jewish,Mischief To Property,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
